estrato;DS_CARGO;perfil_cluster;candidatos_cluster_cargo;eleitos_cluster_cargo;taxa_cluster_cargo;candidatos_estrato_cargo;eleitos_estrato_cargo;taxa_estrato_cargo;indice_vs_estrato_cargo;delta_pp_vs_estrato_cargo;participacao_candidatos_estrato_cargo;participacao_eleitos_estrato_cargo;patrimonio_mediano_cluster_cargo
04_alto;DEPUTADO FEDERAL;Alto patrimônio - imobiliário concentrado com financeiro e outros ativos;217;24;0.11059907834101383;1811;282;0.15571507454445058;0.7102657123247378;-4.511599620343675;0.11982330204307012;0.0851063829787234;1200000.0
03_medio_alto;DEPUTADO ESTADUAL;Patrimônio médio-alto - imobiliário concentrado com societário e dinheiro em espécie;362;26;0.0718232044198895;2244;254;0.11319073083778966;0.6345325618828033;-4.136752641790016;0.16131907308377896;0.10236220472440945;459032.605
04_alto;DEPUTADO ESTADUAL;Alto patrimônio - imobiliário concentrado com veicular e outros ativos;297;42;0.1414141414141414;2114;511;0.24172185430463577;0.5850283658502836;-10.030771289049436;0.14049195837275308;0.0821917808219178;1082694.0
03_medio_alto;DEPUTADO FEDERAL;Patrimônio médio-alto - imobiliário concentrado com societário e dinheiro em espécie;261;11;0.0421455938697318;1522;110;0.07227332457293036;0.5831417624521072;-3.0127730703198554;0.17148488830486203;0.1;450000.0
03_medio_alto;DEPUTADO FEDERAL;Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;411;15;0.0364963503649635;1522;110;0.07227332457293036;0.5049767750497677;-3.5776974207966856;0.2700394218134034;0.13636363636363635;465000.0
02_medio_baixo;DEPUTADO FEDERAL;Patrimônio médio-baixo - veicular concentrado;121;2;0.01652892561983471;1431;49;0.03424178895877009;0.4827120931017035;-1.7712863338935383;0.08455625436757512;0.04081632653061224;146612.0
01_baixo;DEPUTADO ESTADUAL;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie;1318;14;0.010622154779969651;3142;72;0.022915340547422024;0.46353903220367565;-1.2293185767452373;0.4194780394653087;0.19444444444444445;29096.0
01_baixo;DEPUTADO FEDERAL;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie;760;7;0.009210526315789473;1935;39;0.020155038759689922;0.45698380566801616;-1.094451244390045;0.39276485788113696;0.1794871794871795;30792.5
02_medio_baixo;DEPUTADO ESTADUAL;Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;619;13;0.0210016155088853;2497;119;0.04765718862635162;0.4406809573587109;-2.665557311746632;0.24789747697236683;0.1092436974789916;200000.0
03_medio_alto;DEPUTADO ESTADUAL;Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;650;30;0.046153846153846156;2244;254;0.11319073083778966;0.40775287704421564;-6.7036884683943505;0.2896613190730838;0.11811023622047244;438027.26
02_medio_baixo;DEPUTADO FEDERAL;Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;384;5;0.013020833333333334;1431;49;0.03424178895877009;0.3802614795918367;-2.122095562543676;0.26834381551362685;0.10204081632653061;194008.09
02_medio_baixo;DEPUTADO ESTADUAL;Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;699;9;0.012875536480686695;2497;119;0.04765718862635162;0.27016987052331665;-3.4781652145664923;0.2799359231077293;0.07563025210084033;194000.0
03_medio_alto;DEPUTADO FEDERAL;Patrimônio médio-alto - imobiliário + veicular com veicular e societário;157;3;0.01910828025477707;1522;110;0.07227332457293036;0.2643891140706427;-5.316504431815329;0.10315374507227333;0.02727272727272727;493722.56
02_medio_baixo;DEPUTADO FEDERAL;Patrimônio médio-baixo - societário + veicular;118;1;0.00847457627118644;1431;49;0.03424178895877009;0.2474922172258734;-2.5767212687583654;0.08245981830887492;0.02040816326530612;161307.18
04_alto;DEPUTADO FEDERAL;Alto patrimônio - imobiliário concentrado com veicular e outros ativos;250;8;0.032;1811;282;0.15571507454445058;0.20550354609929078;-12.371507454445057;0.13804527885146328;0.028368794326241134;1160939.185
02_medio_baixo;DEPUTADO FEDERAL;Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;354;2;0.005649717514124294;1431;49;0.03424178895877009;0.1649948114839156;-2.85920714446458;0.24737945492662475;0.04081632653061224;191601.04
01_baixo;DEPUTADO FEDERAL;Baixo patrimônio - outros ativos diversificado;109;0;0.0;1935;39;0.020155038759689922;0.0;-2.0155038759689923;0.056330749354005165;0.0;275.21
01_baixo;DEPUTADO ESTADUAL;Baixo patrimônio - imobiliário + veicular;193;0;0.0;3142;72;0.022915340547422024;0.0;-2.2915340547422023;0.06142584341183959;0.0;75000.0
01_baixo;DEPUTADO ESTADUAL;Baixo patrimônio - outros ativos diversificado;129;0;0.0;3142;72;0.022915340547422024;0.0;-2.2915340547422023;0.04105665181413113;0.0;10000.0
02_medio_baixo;DEPUTADO DISTRITAL;Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;30;0;0.0;83;5;0.060240963855421686;0.0;-6.024096385542169;0.3614457831325301;0.0;219937.66
