SG_UF;perfil_cluster;candidatos_cluster_uf;eleitos_cluster_uf;taxa_cluster_uf;candidatos_uf;eleitos_uf;taxa_uf;indice_vs_uf;delta_pp_vs_uf;participacao_candidatos_uf;participacao_eleitos_uf;patrimonio_mediano_cluster_uf
SP;Baixo patrimônio - societário concentrado;65;2;0.03076923076923077;2528;160;0.06329113924050633;0.48615384615384616;-3.2521908471275562;0.025712025316455698;0.0125;16000.0
RJ;Baixo patrimônio - societário concentrado;51;2;0.0392156862745098;1432;116;0.08100558659217877;0.4841108857336038;-4.178990031766896;0.0356145251396648;0.017241379310344827;20000.0
PR;Patrimônio médio-alto - imobiliário concentrado com societário e dinheiro em espécie;28;1;0.03571428571428571;1154;86;0.07452339688041594;0.4792358803986711;-3.8809111166130226;0.024263431542461005;0.011627906976744186;401500.0
SP;Alto patrimônio - imobiliário concentrado com veicular e outros ativos;67;2;0.029850746268656716;2528;160;0.06329113924050633;0.4716417910447761;-3.3440392971849615;0.026503164556962024;0.0125;1177446.94
ES;Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;27;1;0.037037037037037035;481;39;0.08108108108108109;0.4567901234567901;-4.404404404404405;0.056133056133056136;0.02564102564102564;421000.0
SC;Alto patrimônio - imobiliário concentrado com veicular e outros ativos;30;1;0.03333333333333333;752;56;0.07446808510638298;0.44761904761904764;-4.113475177304964;0.0398936170212766;0.017857142857142856;1032634.0
MS;Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;25;1;0.04;394;36;0.09137055837563451;0.4377777777777778;-5.137055837563452;0.06345177664974619;0.027777777777777776;173510.0
MG;Baixo patrimônio - imobiliário + veicular;29;1;0.034482758620689655;1668;133;0.07973621103117506;0.432460461498574;-4.525345241048541;0.01738609112709832;0.007518796992481203;72507.34
PE;Baixo patrimônio - imobiliário concentrado;40;2;0.05;572;72;0.1258741258741259;0.3972222222222222;-7.587412587412588;0.06993006993006994;0.027777777777777776;80000.0
RS;Baixo patrimônio - financeiro concentrado;55;2;0.03636363636363636;975;90;0.09230769230769231;0.3939393939393939;-5.594405594405595;0.05641025641025641;0.022222222222222223;3239.44
MG;Patrimônio médio-alto - imobiliário concentrado com societário e dinheiro em espécie;65;2;0.03076923076923077;1668;133;0.07973621103117506;0.3858877964141122;-4.8966980261944295;0.03896882494004796;0.015037593984962405;470000.0
RJ;Patrimônio médio-baixo - imobiliário + veicular;32;1;0.03125;1432;116;0.08100558659217877;0.3857758620689655;-4.975558659217877;0.0223463687150838;0.008620689655172414;186004.75
MS;Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;29;1;0.034482758620689655;394;36;0.09137055837563451;0.3773946360153257;-5.688779975494486;0.07360406091370558;0.027777777777777776;402000.0
BA;Baixo patrimônio - financeiro concentrado;52;2;0.038461538461538464;999;102;0.1021021021021021;0.3766968325791855;-6.364056364056364;0.05205205205205205;0.0196078431372549;5000.0
SE;Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;27;1;0.037037037037037035;322;32;0.09937888198757763;0.3726851851851852;-6.23418449505406;0.08385093167701864;0.03125;200000.0
ES;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie;68;2;0.029411764705882353;481;39;0.08108108108108109;0.3627450980392157;-5.166931637519873;0.14137214137214138;0.05128205128205128;37044.0
RS;Alto patrimônio - imobiliário concentrado com veicular e outros ativos;30;1;0.03333333333333333;975;90;0.09230769230769231;0.3611111111111111;-5.897435897435898;0.03076923076923077;0.011111111111111112;1013000.0
MG;Patrimônio médio-baixo - imobiliário + veicular;35;1;0.02857142857142857;1668;133;0.07973621103117506;0.35832438238453274;-5.116478245974649;0.020983213429256596;0.007518796992481203;214795.71
ES;Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;35;1;0.02857142857142857;481;39;0.08108108108108109;0.35238095238095235;-5.250965250965252;0.07276507276507277;0.02564102564102564;204000.0
SP;Baixo patrimônio - veicular concentrado com financeiro e societário;91;2;0.02197802197802198;2528;160;0.06329113924050633;0.34725274725274724;-4.131311726248435;0.03599683544303797;0.0125;43850.0
AP;Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;28;1;0.03571428571428571;267;28;0.10486891385767791;0.34056122448979587;-6.91546281433922;0.10486891385767791;0.03571428571428571;172500.0
