variavel;estrato;perfil_cluster;categoria;eleitos_cluster_categoria;eleitos_cluster;perc_eleitos_cluster
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - veicular + financeiro;MÉDICO;2;48;0.041666666666666664
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - veicular + financeiro;ADMINISTRADOR;1;48;0.020833333333333332
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - veicular + financeiro;ASSISTENTE SOCIAL;1;48;0.020833333333333332
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - veicular + financeiro;BANCÁRIO E ECONOMIÁRIO;1;48;0.020833333333333332
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - veicular + financeiro;ECONOMISTA;1;48;0.020833333333333332
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - veicular + financeiro;ENFERMEIRO;1;48;0.020833333333333332
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - veicular + financeiro;MECÂNICO DE MANUTENÇÃO;1;48;0.020833333333333332
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - veicular + financeiro;PEDAGOGO;1;48;0.020833333333333332
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - veicular + financeiro;SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;1;48;0.020833333333333332
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - veicular + financeiro;SERVIDOR PÚBLICO ESTADUAL;1;48;0.020833333333333332
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - veicular concentrado;DEPUTADO;6;13;0.46153846153846156
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - veicular concentrado;MÉDICO;2;13;0.15384615384615385
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - veicular concentrado;OUTROS;2;13;0.15384615384615385
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - veicular concentrado;ADMINISTRADOR;1;13;0.07692307692307693
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - veicular concentrado;EMPRESÁRIO;1;13;0.07692307692307693
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - veicular concentrado;VEREADOR;1;13;0.07692307692307693
